TRANSACTIO_ID FROM TO AMOUNT BEFORE_AMOUNT AFTER_AMOUNT TIMESTAMP 
12 1 1 100 97382 97482 2025-10-02 14:58:08
13 1 1 19 97482 97463 2025-10-02 14:58:10
14 1 2 100 97463 97363 2025-10-02 14:58:16
15 1 1 100 97363 97463 2025-10-02 15:05:04
16 1 2 100 97463 97363 2025-10-02 15:05:20
17 5 5 1002 0 1002 2025-10-02 15:10:31
18 5 5 2 1002 1000 2025-10-02 15:10:38
19 1 1 1000 97363 98363 2025-10-02 15:23:40
20 1 1 10 98363 98373 2025-10-02 15:46:24
21 1 1 100 98373 98473 2025-10-04 20:27:37
22 1 1 100 98473 98573 2025-10-05 19:13:33
23 1 1 100 98573 98473 2025-10-05 19:13:42
24 1 3 1000 98473 97473 2025-10-05 19:14:01
25 1 1 100 97473 97573 2025-10-05 20:26:39
26 1 1 1000 97573 98573 2025-10-27 09:24:50
27 1 1 100 98573 98473 2025-10-27 09:24:59
28 1 2 10000 98473 88473 2025-10-27 09:25:19
29 1 1 100 88473 88573 2025-10-27 14:53:23
30 1 1 1000 88573 87573 2025-10-27 14:53:34
31 1 3 10000 87573 77573 2025-10-27 14:53:52
32 12 12 10000000 0 10000000 2025-10-29 09:39:24
33 12 12 10 10000000 9999990 2025-10-29 09:39:34
34 12 1 11111 9999990 9988879 2025-10-29 09:39:48
35 1 1 12342 88684 101026 2025-10-29 14:31:44
36 1 1 1000 101026 102026 2025-10-29 22:51:22
37 1 1 10 104053 104063 2025-10-31 14:16:31
38 1 1 100 104063 104163 2025-10-31 14:16:36
39 1 2 100 104163 104063 2025-10-31 14:16:51
40 1 1 100 104063 104163 2025-10-31 14:50:01
41 1 1 100 104163 104263 2025-10-31 14:50:08
42 1 1 100 104263 104363 2025-10-31 14:50:19
43 1 1 100 104363 104463 2025-10-31 14:50:26
44 1 1 100 104463 104363 2025-10-31 14:50:36
45 1 2 100 104363 104263 2025-10-31 14:50:45
46 2 2 100 13720 13820 2025-10-31 17:04:28
47 2 2 100 13820 13720 2025-10-31 17:04:35
48 2 1 1000 13720 12720 2025-10-31 17:04:46
49 2 2 1000 12720 13720 2025-10-31 17:36:55
50 2 2 100 13720 13620 2025-10-31 17:37:03
51 2 1 1000 13620 12620 2025-10-31 17:37:40
